,AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation,lat,lon,Duration
2163,13,F,Guatemala,2018-01-01,1/2/2018,1/3/2018,San Diego  (SND),Southwest Key - Hacienda del Sol,Still in Care,ADMITTED,,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,0
2167,1,M,Guatemala,2018-01-02,1/3/2018,1/3/2018,Laredo (LRD),IES - Brownsville,Reunited with Sep Parent,DISCHARGED,3/14/2018,Zero Tolerance Policy,26.0718647,-97.4763276,71
2176,11,M,Guatemala,2018-01-05,1/5/2018,1/6/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,9/20/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,258
2166,10,F,Congo,2018-01-10,1/10/2018,1/12/2018,Laredo (LRD),Heartland International Children’s Reception Center,Discharged Under other approp circumstances,DISCHARGED,9/8/2018,Zero Tolerance Policy,41.889183,-87.632519,241
2230,10,M,Guatemala,2018-01-10,1/11/2018,1/12/2018,Harlingen (SNA),IES - Los Fresnos,Reunited with Sep Parent,DISCHARGED,3/19/2018,Zero Tolerance Policy,26.07855987548828,-97.47564697265625,68
2172,13,M,Guatemala,2018-01-10,1/11/2018,1/11/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,10/3/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,266
2165,15,M,Congo,2018-01-10,1/10/2018,1/12/2018,Laredo (LRD),Heartland International Children’s Reception Center,Discharged Under other approp circumstances,DISCHARGED,9/8/2018,Zero Tolerance Policy,41.889183,-87.632519,241
2231,4,M,Guatemala,2018-01-11,1/13/2018,1/13/2018,Harlingen (SNA),IES - Harlingen,Reunited with Sep Parent,DISCHARGED,3/18/2018,Zero Tolerance Policy,26.184149965124526,-97.73859872658379,66
2177,4,F,Guatemala,2018-01-12,1/13/2018,1/13/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Discharged Under other approp circumstances,DISCHARGED,8/22/2018,Zero Tolerance Policy,33.50126,-112.11539,222
2178,5,M,Guatemala,2018-01-12,1/13/2018,1/13/2018,"Phoenix, AZ  (PHO)",Southwest Key - Campbell,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy,33.50126,-112.11539,180
2232,15,M,Guatemala,2018-01-12,1/13/2018,1/13/2018,Harlingen (SNA),Southwest Key - Nueva Esperanza,Discharged Under other approp circumstances,DISCHARGED,3/27/2018,Zero Tolerance Policy,26.022101482987534,-97.4265115439823,74
2295,11,M,Guatemala,2018-01-12,1/13/2018,1/14/2018,El Paso  (ELP),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,8/7/2018,Zero Tolerance Policy,40.8088,-73.9307,207
2180,16,F,Guatemala,2018-01-16,1/17/2018,1/17/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,6/3/2018,Zero Tolerance Policy,32.241632,-110.97948,138
2179,12,M,Guatemala,2018-01-16,1/17/2018,1/17/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,10/18/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,275
2181,5,M,Guatemala,2018-01-17,1/18/2018,1/19/2018,"Phoenix, AZ  (PHO)",Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,7/9/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,173
2168,13,F,Honduras,2018-01-17,1/17/2018,1/18/2018,Laredo (LRD),Southwest Key - Casa Blanca,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,29.7052,-98.495848,189
2182,11,M,Guatemala,2018-01-18,1/18/2018,1/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Discharged Under other approp circumstances,DISCHARGED,9/11/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,236
