,index,groupid,size,Reason fo Separation
0,0,0,174,Zero Tolerance Policy
1,1,0,174,Zero Tolerance Policy
2,2,0,174,Zero Tolerance Policy
3,3,0,174,Zero Tolerance Policy
4,4,0,174,Zero Tolerance Policy
5,5,0,174,Zero Tolerance Policy
6,6,0,174,Zero Tolerance Policy
7,7,0,174,Zero Tolerance Policy
8,8,0,174,Zero Tolerance Policy
9,9,0,174,Zero Tolerance Policy
10,10,0,174,Zero Tolerance Policy
11,11,0,174,Zero Tolerance Policy
12,12,0,174,Zero Tolerance Policy
13,13,0,174,Zero Tolerance Policy
14,14,0,174,Zero Tolerance Policy
15,15,0,174,Zero Tolerance Policy
16,16,0,174,Zero Tolerance Policy
17,17,0,174,Zero Tolerance Policy
18,18,0,174,Zero Tolerance Policy
19,19,0,174,Zero Tolerance Policy
20,20,0,174,Zero Tolerance Policy
21,21,0,174,Zero Tolerance Policy
22,22,0,174,Zero Tolerance Policy
23,23,0,174,Zero Tolerance Policy
24,24,0,174,Zero Tolerance Policy
25,25,0,174,Zero Tolerance Policy
26,26,0,174,Zero Tolerance Policy
27,27,0,174,Zero Tolerance Policy
28,28,0,174,Zero Tolerance Policy
29,29,0,174,Zero Tolerance Policy
30,30,0,174,Zero Tolerance Policy
31,31,0,174,Zero Tolerance Policy
32,32,0,174,Zero Tolerance Policy
33,33,0,174,Zero Tolerance Policy
34,34,0,174,Zero Tolerance Policy
35,35,0,174,Zero Tolerance Policy
36,36,0,174,Zero Tolerance Policy
37,37,0,174,Zero Tolerance Policy
38,38,0,174,Zero Tolerance Policy
39,39,0,174,Zero Tolerance Policy
40,40,0,174,Zero Tolerance Policy
41,41,0,174,Zero Tolerance Policy
42,42,0,174,Zero Tolerance Policy
43,43,0,174,Zero Tolerance Policy
44,44,0,174,Zero Tolerance Policy
45,45,0,174,Zero Tolerance Policy
46,46,0,174,Zero Tolerance Policy
47,47,0,174,Zero Tolerance Policy
48,48,0,174,Zero Tolerance Policy
49,49,0,174,Zero Tolerance Policy
50,50,0,174,Zero Tolerance Policy
51,51,0,174,Zero Tolerance Policy
52,52,0,174,Zero Tolerance Policy
53,53,0,174,Zero Tolerance Policy
54,54,0,174,Zero Tolerance Policy
55,55,0,174,Zero Tolerance Policy
56,56,0,174,Zero Tolerance Policy
57,57,0,174,Zero Tolerance Policy
58,58,0,174,Zero Tolerance Policy
59,59,0,174,Zero Tolerance Policy
60,60,0,174,Zero Tolerance Policy
61,61,0,174,Zero Tolerance Policy
62,62,0,174,Zero Tolerance Policy
63,63,0,174,Zero Tolerance Policy
64,64,0,174,Zero Tolerance Policy
65,65,0,174,Zero Tolerance Policy
66,66,0,174,Zero Tolerance Policy
67,67,0,174,Zero Tolerance Policy
68,68,0,174,Zero Tolerance Policy
69,69,0,174,Zero Tolerance Policy
