,FACILITY_APPROVED,lat,lon,count,discharge_rate
0,A New Leaf – Alice Peterson Residence,33.42209,-111.81091,5,100.0
1,A New Leaf – Dorothy B. Mitchell Counseling Center,33.42312583690492,-111.79475465271236,5,100.0
2,Abbott House,41.04460969347108,-73.85903753173923,29,97.0
3,BCFS - Chavaneaux,29.321531760534477,-98.52796822690473,26,100.0
4,BCFS - Driscoll,27.789972,-97.654548,6,50.0
5,BCFS - Fairfield,38.27196592144918,-122.05016687950611,1,100.0
6,BCFS - Harlingen,26.190327116846483,-97.6776081421415,156,97.0
7,BCFS - Raymondville,26.451811397813433,-97.79827777339452,54,91.0
8,BCFS - San Antonio,29.489023513806092,-98.5685671455097,21,95.0
9,BCFS - San Antonio Transitional Foster Care,29.489023513806092,-98.5685671455097,108,90.0
10,BCFS - Tornillo,31.464328,-106.169116,1,100.0
11,BCFS Baytown,29.784162841517396,-95.05649672675278,62,95.0
12,Bethany Christian Services TFC - Baltimore,38.98937137244992,-76.69293258909268,12,83.0
13,Board of Child Care - Treatment Foster Care,38.49329657584188,-76.7675310422091,3,67.0
14,Board of Child Care Shelter,39.346900872776,-76.76049583255488,10,90.0
15,Bokenkamp Children’s Shelter,27.7177065686254,-97.34968717809491,31,96.0
16,Bokenkamp Children’s Shelter,27.71790130420733,-97.34967108875165,25,96.0
17,CHSI - Casa Norma Linda,26.075903730505722,-97.52940599545984,8,38.0
18,CHSI - Los Fresnos,26.129432678222656,-97.47114562988281,6,17.0
19,CHSI - San Benito,26.132187,-97.628685,5,80.0
20,Catholic Charities - Fort Worth,32.68354219483105,-97.32727386355151,6,100.0
21,Catholic Charities - Houston,29.74586233145037,-95.37880105283553,6,100.0
22,Catholic Charities - Msgr. Bryan Walsh Children’s Village,26.160271563841256,-80.12750692556861,29,90.0
23,Catholic Charities Fort Worth Transitional Foster Care,40.741895,-73.989308,3,67.0
24,Catholic Guardian Services,40.880516052246094,-73.89922332763672,5,100.0
