AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation
16,M,Brazil,2/15/2018,2/15/2018,2/17/2018,El Paso  (ELP),Heartland Intl Childrens RC,Discharged Under other approp circumstances,DISCHARGED,7/8/2018,Zero Tolerance Policy
17,F,Romania,5/27/2018,5/29/2018,5/30/2018,Harlingen (SNA),Homestead,Discharged Under other approp circumstances,DISCHARGED,6/4/2018,Zero Tolerance Policy
11,M,Mexico,2/1/2018,2/6/2018,2/8/2018,San Diego  (SND),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,2/2/2019,Zero Tolerance Policy
15,M,Mexico,2/2/2018,2/6/2018,2/8/2018,San Diego  (SND),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,2/2/2019,Zero Tolerance Policy
8,M,Honduras,6/2/2018,6/4/2018,6/5/2018,,Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,11/7/2018,Zero Tolerance Policy
4,M,Guatemala,6/15/2018,6/18/2018,6/20/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy
13,F,Guatemala,3/28/2018,3/28/2018,3/29/2018,St. Paul (SPM),Southwest Key Las Palmas,Still in Care,ADMITTED,,Zero Tolerance Policy
9,M,Guatemala,5/21/2018,5/22/2018,5/22/2018,"Phoenix, AZ  (PHO)",Southwest Key Campbell,Discharged Under other approp circumstances,DISCHARGED,8/22/2018,Zero Tolerance Policy
17,M,Guatemala,6/12/2018,6/13/2018,6/13/2018,"Miami, FL  (MIA)",Homestead,Still in Care,ADMITTED,,Zero Tolerance Policy
14,M,Guatemala,5/29/2018,5/30/2018,5/31/2018,"Miami, FL  (MIA)",Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/17/2018,Zero Tolerance Policy
13,M,Guatemala,2/25/2018,2/26/2018,2/27/2018,"Phoenix, AZ  (PHO)",A New Leaf – Dorothy Mitchell,Reunited with Sep Parent,DISCHARGED,5/2/2018,Zero Tolerance Policy
7,F,Guatemala,2/25/2018,2/26/2018,2/26/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
13,M,Guatemala,3/1/2018,3/1/2018,3/1/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Still in Care,ADMITTED,,Zero Tolerance Policy
8,M,Guatemala,4/10/2018,4/11/2018,4/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
14,M,Guatemala,4/30/2018,5/1/2018,5/1/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy
9,M,Guatemala,5/28/2018,5/31/2018,6/2/2018,"Phoenix, AZ  (PHO)",The Villages,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
5,M,Guatemala,5/28/2018,6/1/2018,6/2/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,11/2/2018,Zero Tolerance Policy
13,M,Guatemala,6/3/2018,6/4/2018,6/4/2018,"Phoenix, AZ  (PHO)",A New Leaf – Peterson,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
13,F,Guatemala,6/14/2018,6/16/2018,6/18/2018,"Phoenix, AZ  (PHO)",Homestead,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
6,M,Honduras,5/16/2018,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
10,F,Honduras,5/16/2018,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
5,F,Honduras,5/17/2018,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy
0,M,Mexico,3/12/2018,3/12/2018,3/13/2018,Del Rio (DRO),Heartland Guadalupe,Discharged Under other approp circumstances,DISCHARGED,8/8/2018,Zero Tolerance Policy
0,M,Mexico,4/13/2018,4/14/2018,4/14/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Discharged Under other approp circumstances,DISCHARGED,8/19/2018,Zero Tolerance Policy
13,F,Honduras,5/5/2018,5/6/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
10,M,Honduras,5/5/2018,5/6/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
9,M,Honduras,5/6/2018,5/6/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy
17,F,Guatemala,5/6/2018,5/7/2018,5/7/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Reunited with Sep Parent,DISCHARGED,6/4/2018,Zero Tolerance Policy
15,F,Guatemala,5/7/2018,5/7/2018,5/8/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
5,M,Guatemala,5/7/2018,5/8/2018,5/8/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy
