,AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation,Duration
0,16,M,Brazil,2/15/2018,2/15/2018,2/17/2018,El Paso  (ELP),Heartland Intl Childrens RC,Discharged Under other approp circumstances,DISCHARGED,7/8/2018,Zero Tolerance Policy,143
1,17,F,Romania,5/27/2018,5/29/2018,5/30/2018,Harlingen (SNA),Homestead,Discharged Under other approp circumstances,DISCHARGED,6/4/2018,Zero Tolerance Policy,8
2,11,M,Mexico,2/1/2018,2/6/2018,2/8/2018,San Diego  (SND),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,2/2/2019,Zero Tolerance Policy,366
3,15,M,Mexico,2/2/2018,2/6/2018,2/8/2018,San Diego  (SND),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,2/2/2019,Zero Tolerance Policy,365
4,8,M,Honduras,6/2/2018,6/4/2018,6/5/2018,,Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,11/7/2018,Zero Tolerance Policy,158
5,4,M,Guatemala,6/15/2018,6/18/2018,6/20/2018,El Paso  (ELP),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy,26
6,13,F,Guatemala,3/28/2018,3/28/2018,3/29/2018,St. Paul (SPM),Southwest Key Las Palmas,Still in Care,ADMITTED,,Zero Tolerance Policy,no discharge
7,9,M,Guatemala,5/21/2018,5/22/2018,5/22/2018,"Phoenix, AZ  (PHO)",Southwest Key Campbell,Discharged Under other approp circumstances,DISCHARGED,8/22/2018,Zero Tolerance Policy,93
8,17,M,Guatemala,6/12/2018,6/13/2018,6/13/2018,"Miami, FL  (MIA)",Homestead,Still in Care,ADMITTED,,Zero Tolerance Policy,no discharge
9,14,M,Guatemala,5/29/2018,5/30/2018,5/31/2018,"Miami, FL  (MIA)",Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/17/2018,Zero Tolerance Policy,80
10,13,M,Guatemala,2/25/2018,2/26/2018,2/27/2018,"Phoenix, AZ  (PHO)",A New Leaf – Dorothy Mitchell,Reunited with Sep Parent,DISCHARGED,5/2/2018,Zero Tolerance Policy,66
11,7,F,Guatemala,2/25/2018,2/26/2018,2/26/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy,215
12,13,M,Guatemala,3/1/2018,3/1/2018,3/1/2018,"Phoenix, AZ  (PHO)",Southwest Key Casa Kokopelli,Still in Care,ADMITTED,,Zero Tolerance Policy,no discharge
13,8,M,Guatemala,4/10/2018,4/11/2018,4/11/2018,"Phoenix, AZ  (PHO)",Southwest Key Sol,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,104
14,14,M,Guatemala,4/30/2018,5/1/2018,5/1/2018,"Phoenix, AZ  (PHO)",Southwest Key Estrella,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy,62
15,9,M,Guatemala,5/28/2018,5/31/2018,6/2/2018,"Phoenix, AZ  (PHO)",The Villages,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,56
